applicant_ID,applicant_score,density
0,2.0,1011
1,1.892709159626884,891
2,1.7916666282065918,782
3,1.6964801101367704,661
4,1.6067837064344037,576
5,1.522236020841224,522
6,1.442518410177724,413
7,1.367333367327824,373
8,1.2964030262225226,364
9,1.2294677790887618,273
10,1.166284997048393,256
11,1.1066278458980352,251
12,1.0502841895813335,192
13,0.997055574485901,179
14,0.9467562882642461,165
15,0.8992124873955358,139
16,0.8542613881781692,124
17,0.8117505162753781,121
18,0.7715370103315307,85
19,0.7334869755383984,102
20,0.6974748833617719,81
21,0.663383013941776,75
22,0.6311009379579405,67
23,0.6005250350043729,62
24,0.5715580457536372,52
25,0.5441086554017187,37
26,0.5180911060827094,50
27,0.49342483612183247,47
28,0.4700341441608015,44
29,0.447847876341289,44
30,0.4267991348718413,34
31,0.4068250064317694,30
32,0.3878663089834963,38
33,0.3698673556732718,25
34,0.3527757346000111,35
35,0.33654210332384976,32
36,0.32111999707065425,17
37,0.30646564966661816,14
38,0.2925378263089466,24
39,0.2792976673447797,33
40,0.2667085422916128,23
41,0.25473591338874174,16
42,0.24334720802127238,16
43,0.2325116994061721,24
44,0.22220039497416882,23
45,0.2123859319222005,16
46,0.20304247944894616,12
47,0.1941456472209056,15
48,0.18567239964881868,23
49,0.17760097558409924,18
50,0.16991081307261632,18
51,0.16258247882874227,23
52,0.15559760211629278,18
53,0.14893881274491383,18
54,0.14258968291081356,19
55,0.13653467262955768,11
56,0.1307590785261247,11
57,0.12524898576359145,20
58,0.11999122290684887,15
59,0.11497331953166996,13
60,0.11018346640238802,14
61,0.10561047805343976,11
62,0.10124375762118028,8
63,0.09707326378272074,15
64,0.09308947966816794,8
65,0.08928338362157433,14
66,0.08564642169422879,14
67,0.08217048176163352,12
68,0.07884786916271422,12
69,0.07567128376648741,12
70,0.07263379837764157,14
71,0.06972883839827733,13
72,0.06695016266845241,7
73,0.0642918454131986,15
74,0.06174825922836404,10
75,0.059314059041994376,11
76,0.056984166992036886,10
77,0.05475375816494015,13
78,0.052618247143264525,11
79,0.05057327531371189,8
80,0.04861469889006777,10
81,0.04673857760841831,10
82,0.044941164054690654,8
83,0.04321889358706793,19
84,0.04156837481817169,9
85,0.039986380624090774,9
86,0.03846983964937774,8
87,0.03701582827904411,10
88,0.03562156305037097,8
89,0.034284393479021666,11
90,0.03300179527550448,6
91,0.03177136392949404,11
92,0.03059080864088876,11
93,0.02945794657776065,9
94,0.028370697442552793,11
95,0.027327078329001303,5
96,0.026325198853310392,10
97,0.025363256544094017,8
98,0.024439532476520056,9
99,0.02355238713695806,10
100,0.022700256505242832,10
101,0.021881648342426695,11
102,0.021095138672605873,10
103,0.020339368448076288,1
104,0.019613040387701227,6
105,0.018914915978963446,16
106,0.018243812634726655,9
107,0.017598600996250737,8
108,0.01697820237449334,12
109,0.016381586322188228,15
110,0.015807768329621077,13
111,0.015255807637428022,11
112,0.01472480516012253,10
113,0.01421390151441337,12
114,0.013722275146712396,11
115,0.013249140554547017,10
116,0.012793746596889474,7
117,0.012355374888694513,7
118,0.01193333827520056,5
119,0.011526979381796624,13
120,0.01113566923549084,6
121,0.010758805954235916,4
122,0.01039581350057329,7
123,0.010046140496252949,7
124,0.009709259094668526,9
125,0.009384663908121352,10
126,0.00907187098708899,16
127,0.008770416848827423,11
128,0.008479857552781817,9
129,0.008199767820415928,12
130,0.007929740197199933,10
131,0.0076693842546176815,13
132,0.0074183258301684695,8
133,0.0071762063034474174,11
134,0.006942681906489845,7
135,0.006717423066661513,11
136,0.006500113780467986,13
137,0.006290451016741583,5
138,0.006088144147745998,8
139,0.005892914406815054,11
140,0.00570449437121438,7
141,0.0055226274689835035,7
142,0.005347067508580153,7
143,0.005177578230209714,9
144,0.005013932877780876,6
145,0.004855913790482706,1
146,0.004703312013030219,7
147,0.004555926923674576,6
148,0.004413565879119766,7
149,0.00427604387553196,9
150,0.004143183224868696,9
151,0.004014813245794293,11
152,0.0038907699684851884,15
153,0.0037708958526637684,2
154,0.0036550395182325984,7
155,0.0035430554879124923,8
156,0.0034348039413175605,7
157,0.0033301504799288064,5
158,0.0032289659024545086,14
159,0.0031311259900909014,13
160,0.003036511301220997,8
161,0.0029450069751118793,9
162,0.002856502544192642,11
163,0.002770891754515514,8
164,0.0026880723940221397,11
165,0.0026079461282556018,4
166,0.002530418343175942,4
167,0.002455397994753885,7
168,0.0023827974650329543,10
169,0.002312532424365203,7
170,0.002244521699540012,12
171,0.0021786871475388365,11
172,0.002114953534661473,14
173,0.0020532484207818093,11
174,0.001993502048502225,11
175,0.001935647236987084,12
176,0.0018796192802659067,5
177,0.0018253558498068651,14
178,0.0017727969011705612,4
179,0.0017218845845630116,15
180,0.001672563159115196,10
181,0.0016247789107247162,5
182,0.0015784800733025905,7
183,0.0015336167532757372,13
184,0.0014901408572024191,7
185,0.0014480060223646782,10
186,0.0014071675502079866,8
187,0.0013675823425043445,10
188,0.0013292088401206893,5
189,0.0012920069642800133,9
190,0.0012559380602075376,10
191,0.0012209648430594067,5
192,0.0011870513460358549,11
193,0.0011541628705853465,6
194,0.0011222659386103753,11
195,0.0010913282465896581,10
196,0.00106131862153525,8
197,0.0010322069787068605,14
198,0.0010039642810089943,7
199,0.0009765625,7
